Predicate; Input; Output
IsNotNaN; [0.8989655728009378, -0.21147667521464641, NaN, 0.9531692790005692, -0.8530464957714317, -0.41331365681802446, 0.09077504414092785, -0.17747419233495432, -0.2485760231981191, 0.890095628875454]; [0.8989655728009378, -0.21147667521464641, 0.9531692790005692, -0.8530464957714317, -0.41331365681802446, 0.09077504414092785, -0.17747419233495432, -0.2485760231981191, 0.890095628875454]
DivisibleByTwo; [-0.6226424377908133, 0.6903868614603901, 0.3507289169969845, 0.12254418267530065, 0.9006831936967936, 0.2645293638688657, 0.41068902936113627, 0.5953523999771924, -0.0574036300207692, 0.7295271896391196]; []
DivisibleByTwo; [0.27544144902141343, -0.10816954023120906, 0.29038529930605317, 0.7737506614383927, -0.003168984491745963, -0.9299051511546073, -0.38275841290049395, -0.6107815436657302, -0.18576758403029925, 0.26364490454889355]; []
IsNotNaN; [0.8941624726863651, -0.533909237245336, -0.6460444730110966, -0.028002615033847267, -0.19423111014783778, -0.1772659600099007, -0.3728470914443327, 0.3590665794723997, 0.8085280583731642, NaN]; [0.8941624726863651, -0.533909237245336, -0.6460444730110966, -0.028002615033847267, -0.19423111014783778, -0.1772659600099007, -0.3728470914443327, 0.3590665794723997, 0.8085280583731642]
DivisibleByTwo; [0.7274134122363844, 0.2148689145371554, -0.05161505896110419, 0.34392977899994714, 0.7639912549911876, 0.8865209923594988, 0.8458229536498172, 0.6277348564400951, 0.013886634076900384, 0.44739144379398943]; []
DivisibleByTwo; [-0.6401111430899471, 0.9930493442545714, 0.5357578745265417, -0.35134390272679195, 0.3587339911612848, 0.0970843980536209, -0.4390873836899303, -0.2146010092869155, 0.7527378280449455, 0.5064604764111684]; []
IsNotNaN; [NaN, -0.4902104656100177, 0.4872972705861256, -0.6448685563221539, -0.007590540859518935, NaN, -0.45412085808861935, 0.354384086947938, 0.8162367493117086, 0.11298982504475275]; [-0.4902104656100177, 0.4872972705861256, -0.6448685563221539, -0.007590540859518935, -0.45412085808861935, 0.354384086947938, 0.8162367493117086, 0.11298982504475275]
DivisibleByTwo; [0.17994976370373883, -0.5693910474384358, 0.036764589700606365, -0.4420809721625265, -0.4390884224612852, -0.9893206975967448, -0.3911060403661901, -0.8641463504622153, 0.84019091531891, 0.03141455986585506]; []
IsPositive; [-0.16595022101615498, 0.9811797343340092, 0.20713825611966152, 0.11874652537012254, 0.7129393692501036, -0.6259580314099136, -0.04958274854383138, -0.936153667989869, -0.3010758771474651, 0.3517599527303077]; [0.9811797343340092, 0.20713825611966152, 0.11874652537012254, 0.7129393692501036, 0.3517599527303077]
IsNotNaN; [0.7570736646554226, NaN, 0.3801428138218703, 0.4416374885637886, 0.5244925964545335, -0.2684496588978502, 0.8157882909687284, -0.2862873804957671, NaN, 0.19225065331097269]; [0.7570736646554226, 0.3801428138218703, 0.4416374885637886, 0.5244925964545335, -0.2684496588978502, 0.8157882909687284, -0.2862873804957671, 0.19225065331097269]
DivisibleByTwo; [0.2617065597021091, 0.3773859482121624, -0.25938444563051455, -0.8717575811299738, 0.8427522522601858, 0.4837564813406774, 0.5729052083198061, -0.8877731607236055, 0.364100307654468, 0.945883533360603]; []
DivisibleByTwo; [0.6060478546905463, 0.738267232825232, -0.09902118780609892, -0.9479148429263367, 0.9770569476662401, -0.3773131657474371, -0.9339457334053938, 0.9227732102076305, -0.9947346779105724, -0.24094368508228348]; []
IsPositive; [0.9259659304288348, 0.9492163003201242, 0.37062111099892814, -0.448205388325982, -0.5767289953255574, 0.15301238795535999, 0.9830942506432636, 0.659548468534201, 0.8573294537655938, -0.382056722759897]; [0.9259659304288348, 0.9492163003201242, 0.37062111099892814, 0.15301238795535999, 0.9830942506432636, 0.659548468534201, 0.8573294537655938]
IsPositive; [0.7500418332109466, 0.8986551554113644, -0.5125797504502692, -0.3287257902798191, -0.38560429779288397, 0.888634288408906, -0.356349858064436, 0.329451840913336, -0.7849475920012428, -0.13420480151633463]; [0.7500418332109466, 0.8986551554113644, 0.888634288408906, 0.329451840913336]
IsPositive; [0.865977926296706, -0.3264547152355588, -0.688140161171992, -0.8523124810568077, 0.5389458313856956, 0.2826644998890169, 0.721111283926386, 0.10026124930054015, 0.2494728746613386, -0.37101788370360134]; [0.865977926296706, 0.5389458313856956, 0.2826644998890169, 0.721111283926386, 0.10026124930054015, 0.2494728746613386]
IsPositive; [-0.07652634175913664, -0.8587537478979292, -0.3326672512881075, 0.4258745408580671, 0.7347914372521271, -0.6926011956031071, -0.8672971529686684, -0.6789111260335401, -0.5287764282136447, 0.21990554299465437]; [0.4258745408580671, 0.7347914372521271, 0.21990554299465437]
IsPositive; [-0.6675626893644717, -0.9602667178267756, -0.1063128426148865, -0.09862543208879826, -0.5435169947030236, 0.10727889941741964, 0.8825960596805906, 0.8294847274285702, 0.048121662216822125, -0.3793484802115308]; [0.10727889941741964, 0.8825960596805906, 0.8294847274285702, 0.048121662216822125]
DivisibleByTwo; [-0.7276007813495313, 0.8565043399739158, -0.6035109008637138, 0.18588257911556116, 0.5664386327381761, -0.8194683993093148, 0.7670852289727452, 0.1036792340814221, -0.6438377790893586, 0.42344915421611673]; []
IsNotNaN; [0.025757843535952896, 0.15966392811684305, -0.8152562456666932, 0.05222607129191914, NaN, NaN, 0.3236756240646015, -0.12565816517333506, NaN, NaN]; [0.025757843535952896, 0.15966392811684305, -0.8152562456666932, 0.05222607129191914, 0.3236756240646015, -0.12565816517333506]
IsNotNaN; [-0.5280820632007399, -0.8552544765657026, -0.7109259667854837, NaN, NaN, 0.9409070153039902, 0.5341376610166586, 0.49514506978373407, 0.45309877035906654, NaN]; [-0.5280820632007399, -0.8552544765657026, -0.7109259667854837, 0.9409070153039902, 0.5341376610166586, 0.49514506978373407, 0.45309877035906654]
IsNotNaN; [-0.9493892731569675, -0.012406747745266733, 0.26599169730465166, 0.1096367446272617, -0.7289185332197474, -0.41143633211426756, -0.0869176180901976, 0.16388274152603866, -0.8002155168591916, -0.7048888461578766]; [-0.9493892731569675, -0.012406747745266733, 0.26599169730465166, 0.1096367446272617, -0.7289185332197474, -0.41143633211426756, -0.0869176180901976, 0.16388274152603866, -0.8002155168591916, -0.7048888461578766]
DivisibleByTwo; [0.4711060166342498, -0.5619160369661274, 0.47855483804785104, 0.8681923328542043, -0.5325764695896891, 0.7268492517218994, -0.4024634220619363, -0.7543435704326469, 0.3756849733852845, 0.0563371205173917]; []
IsPositive; [0.09128276709208372, 0.023895088714202428, -0.912728582659917, -0.04769763478300848, -0.24185008040444034, 0.019198180987048286, -0.20026104690072244, -0.9822623311100493, 0.9506554345013232, -0.0547460509165596]; [0.09128276709208372, 0.023895088714202428, 0.019198180987048286, 0.9506554345013232]
DivisibleByTwo; [0.4295028378338184, -0.3885684314844977, -0.1932679502119321, 0.5811216940054764, 0.13451661990452046, 0.6629032087848981, -0.07342114577413561, 0.4543969277785467, 0.8237162426977196, -0.7841830453037768]; []
IsPositive; [-0.5529254608966936, 0.027177933760473394, 0.6335146389152693, 0.1611188122052356, -0.27451669261288325, 0.647835059310953, 0.2676481729992628, 0.8027782712790528, 0.9164507327490505, 0.1194733506799468]; [0.027177933760473394, 0.6335146389152693, 0.1611188122052356, 0.647835059310953, 0.2676481729992628, 0.8027782712790528, 0.9164507327490505, 0.1194733506799468]
DivisibleByTwo; [0.8251918161464427, -0.6068407129074964, 0.6110510768329731, 0.6363705121563161, 0.28257541391908103, 0.5816855138322938, 0.40391437535583563, -0.9474376772632636, -0.8510503943514041, -0.16039588523991055]; []
DivisibleByTwo; [-0.2357733589991733, -0.027861250600693444, -0.01973529791426354, -0.6447055311799446, 0.9086619493364687, 0.9887042683569542, 0.41594198409980954, -0.36129153258444235, 0.5090716884375954, 0.5518465961202463]; []
DivisibleByTwo; [-0.8069669798423706, 0.13016853047708543, 0.015020734249125534, 0.4013487235850539, -0.8037234021442201, 0.47789220052874515, 0.13102702375345232, 0.28526965986374875, -0.9815194040051181, -0.16974955146991233]; []
IsNotNaN; [0.5606255557356998, 0.7659101944433415, NaN, NaN, -0.4858554838798337, NaN, 0.6304592974587431, NaN, NaN, -0.3631044732537896]; [0.5606255557356998, 0.7659101944433415, -0.4858554838798337, 0.6304592974587431, -0.3631044732537896]
IsPositive; [-0.5073795109158517, -0.23123797274592084, 0.3238511163872728, -0.9019998457084237, -0.29216105748730326, 0.10468032111126613, 0.16052904040060434, 0.6504464834753225, -0.07084209307944045, -0.18358320506977188]; [0.3238511163872728, 0.10468032111126613, 0.16052904040060434, 0.6504464834753225]
IsNotNaN; [-0.03819236800902748, -0.9264516055081553, 0.33263381333147235, 0.7612958986897089, 0.7061132241015218, -0.5086401005530115, 0.6042374579481258, 0.3393935173216096, -0.9805753119396627, 0.31409897204543213]; [-0.03819236800902748, -0.9264516055081553, 0.33263381333147235, 0.7612958986897089, 0.7061132241015218, -0.5086401005530115, 0.6042374579481258, 0.3393935173216096, -0.9805753119396627, 0.31409897204543213]
DivisibleByTwo; [0.7090521474118818, 0.28184358358296824, -0.11281276733543111, -0.6363525671742838, -0.7761639067572155, -0.19571831953212926, 0.4565985787968805, -0.15934078854870615, -0.44496897149787284, -0.5246597399229207]; []
IsPositive; [-0.5484553342063883, 0.003698579616203901, 0.71781591926388, 0.26925093927568144, 0.23222906500304186, -0.04377782846455891, 0.517818839395898, -0.2967509209718391, 0.8538046362651883, 0.7751078829029809]; [0.003698579616203901, 0.71781591926388, 0.26925093927568144, 0.23222906500304186, 0.517818839395898, 0.8538046362651883, 0.7751078829029809]
IsPositive; [0.9556168444480715, -0.2953823865525498, -0.3869176864260391, -0.6351749891997853, 0.46516854877408953, 0.908846962225552, -0.48034234585381697, 0.8842305245106115, -0.7991594635543289, -0.5404713027488683]; [0.9556168444480715, 0.46516854877408953, 0.908846962225552, 0.8842305245106115]
DivisibleByTwo; [-0.11243948671255155, -0.6316331442015026, 0.003703293785886297, -0.9377586320194982, -0.18419998474644084, 0.2555274245687629, 0.9062888243465002, -0.961172896719888, 0.7109416458285949, -0.06975308568774508]; []
IsPositive; [-0.9239822757328653, 0.43509914774502034, -0.7978805983424959, -0.8942371703390042, 0.9510183465884245, 0.854159662430886, -0.19134850227311206, 0.8948873674603255, 0.9880771514330386, 0.6191496455626606]; [0.43509914774502034, 0.9510183465884245, 0.854159662430886, 0.8948873674603255, 0.9880771514330386, 0.6191496455626606]
IsNotNaN; [0.542693664421857, 0.7561173180820824, -0.07902537640085527, 0.11339107870687215, 0.2641298871249955, 0.15220200603227063, 0.7184767599490427, 0.7025249148593244, 0.05216569009826211, 0.7212782045049093]; [0.542693664421857, 0.7561173180820824, -0.07902537640085527, 0.11339107870687215, 0.2641298871249955, 0.15220200603227063, 0.7184767599490427, 0.7025249148593244, 0.05216569009826211, 0.7212782045049093]
IsPositive; [0.5347675197771702, -0.4876140875809625, 0.11785496429527043, -0.9639262704371081, -0.1388759561959727, -0.48200081052529864, 0.8540570215224939, -0.38543033836583596, -0.1838490986664738, 0.8932211198394333]; [0.5347675197771702, 0.11785496429527043, 0.8540570215224939, 0.8932211198394333]
IsNotNaN; [NaN, -0.25409647252688217, -0.947093617837024, NaN, NaN, -0.09181410284647118, -0.8852312324754914, NaN, -0.9481091138931268, 0.0802929134024557]; [-0.25409647252688217, -0.947093617837024, -0.09181410284647118, -0.8852312324754914, -0.9481091138931268, 0.0802929134024557]
IsNotNaN; [-0.7620935761150862, NaN, 0.3195250236102023, -0.9124110266133176, 0.5767307661051588, -0.7734261179503568, NaN, NaN, -0.380272013355176, NaN]; [-0.7620935761150862, 0.3195250236102023, -0.9124110266133176, 0.5767307661051588, -0.7734261179503568, -0.380272013355176]
IsPositive; [-0.6022540569498214, 0.23913441426373905, -0.8334210019952484, 0.8295010930824529, -0.8088447035259694, -0.7873076775693495, 0.653494826420959, -0.052690323969175834, -0.37712934383591246, -0.3900133510505792]; [0.23913441426373905, 0.8295010930824529, 0.653494826420959]
IsPositive; [-0.1577909928472001, -0.5784718263564064, 0.8552192663046199, -0.1418246049895413, 0.9290843723386377, -0.6334148738519911, -0.18526478163823135, -0.8206128463974689, -0.01569246899087484, -0.24156736739360096]; [0.8552192663046199, 0.9290843723386377]
DivisibleByTwo; [-0.896908056846828, 0.10046595415459292, -0.7028400699786368, -0.5434205750904815, 0.5901423655418983, 0.7803375641404433, -0.3181306734187843, 0.17402458301223, -0.8374831640432963, -0.10153404296099144]; []
IsPositive; [0.08956265867880564, -0.7940557545443963, 0.5484941868142672, 0.8107603383561086, 0.9753551259417705, -0.4028762759536393, -0.6003737193428509, -0.045316894074433955, -0.21437313021403015, 0.6097683962936047]; [0.08956265867880564, 0.5484941868142672, 0.8107603383561086, 0.9753551259417705, 0.6097683962936047]
DivisibleByTwo; [-0.1181365444019935, -0.92680059582593, -0.3409453993484153, 0.8474674615433804, 0.9136926237090848, -0.2723994424634164, -0.024019794097166258, -0.8022752509240942, -0.11393432875398157, -0.21787652329888152]; []
IsNotNaN; [-0.2557850563119648, 0.8746121064823364, 0.20866208375591078, -0.9313206585057814, -0.024607827017034012, -0.7252588203611929, -0.6507053543431693, NaN, -0.8155007089889723, -0.8961104545827414]; [-0.2557850563119648, 0.8746121064823364, 0.20866208375591078, -0.9313206585057814, -0.024607827017034012, -0.7252588203611929, -0.6507053543431693, -0.8155007089889723, -0.8961104545827414]
IsNotNaN; [-0.8319671518388643, -0.7269420898091181, 0.9362325400169329, NaN, -0.7051157020282581, -0.5135375192515426, -0.034663589069466205, -0.44651779852819806, NaN, -0.1669898495340485]; [-0.8319671518388643, -0.7269420898091181, 0.9362325400169329, -0.7051157020282581, -0.5135375192515426, -0.034663589069466205, -0.44651779852819806, -0.1669898495340485]
DivisibleByTwo; [-0.1858969057398412, -0.7638605815075448, 0.05475852324299968, 0.6638532033350626, 0.15872449759958474, 0.8866788139540995, -0.2030859158060483, -0.31677555338783425, 0.03720413178059934, 0.5292849119496799]; []
IsPositive; [-0.8498675312768706, -0.5354950766809883, 0.04505164418626606, -0.9366269047386584, 0.1831621011698421, 0.22696710694139632, 0.23099951430260313, -0.7769690553700366, 0.9560268601437389, 0.8725224210189]; [0.04505164418626606, 0.1831621011698421, 0.22696710694139632, 0.23099951430260313, 0.9560268601437389, 0.8725224210189]
IsPositive; [0.9034954595195441, -0.24513171513150778, -0.6345438033887429, -0.06780843375854961, 0.8497414187625782, 0.03137792352507773, -0.37384127346491725, -0.9650918074894479, -0.4274359389642326, 0.18604967397181915]; [0.9034954595195441, 0.8497414187625782, 0.03137792352507773, 0.18604967397181915]
DivisibleByTwo; [0.22466986651171905, 0.7866565124408273, -0.9335815831622587, -0.9618790635981069, -0.7452296999348467, 0.5358330656918184, 0.38234154857060365, 0.568987956668876, -0.07176235090049654, -0.5988844431928622]; []
IsPositive; [0.7726886218111795, -0.481058059477105, -0.24804114169569735, 0.151010052317464, 0.5599996702826084, -0.20796432503928974, -0.627803178852719, 0.04964032939740726, -0.9596392795293651, -0.2114738705282837]; [0.7726886218111795, 0.151010052317464, 0.5599996702826084, 0.04964032939740726]
IsNotNaN; [NaN, -0.37876733420342945, -0.28986117004332335, NaN, -0.2609267965916804, -0.5638598891757085, 0.8959856853866852, -0.5132346474082272, -0.36928078752041715, 0.48414138578589516]; [-0.37876733420342945, -0.28986117004332335, -0.2609267965916804, -0.5638598891757085, 0.8959856853866852, -0.5132346474082272, -0.36928078752041715, 0.48414138578589516]
DivisibleByTwo; [0.471520817525825, -0.5711903472606032, 0.8981747552813564, -0.523859924228476, 0.7601207186690315, -0.7818890674451306, -0.1900049852488177, 0.5032794844704434, -0.04824482473682701, 0.5606725251805924]; []
IsPositive; [0.8748544110826639, 0.882880946398233, -0.5971708684826023, 0.9581384426434851, 0.8234226938198106, -0.2664980597318145, 0.04150263946502197, 0.7605631590908444, 0.11530564431232926, 0.8468025631991278]; [0.8748544110826639, 0.882880946398233, 0.9581384426434851, 0.8234226938198106, 0.04150263946502197, 0.7605631590908444, 0.11530564431232926, 0.8468025631991278]
IsPositive; [-0.23302215522379632, -0.8586133150445252, 0.12223429469684377, 0.7617991157861719, -0.7902425044289116, 0.061325765365573215, 0.7734523166013951, 0.5974733816986468, -0.4891049325798946, 0.844533773841597]; [0.12223429469684377, 0.7617991157861719, 0.061325765365573215, 0.7734523166013951, 0.5974733816986468, 0.844533773841597]
IsPositive; [-0.10348269889078066, 0.16259807639878177, 0.881771556385895, 0.859521569521341, -0.25350395559285843, -0.8629710163086501, 0.6219511643829096, -0.021027240500288702, 0.2888015287624921, 0.7066039266299462]; [0.16259807639878177, 0.881771556385895, 0.859521569521341, 0.6219511643829096, 0.2888015287624921, 0.7066039266299462]
IsNotNaN; [0.0011820930856965006, -0.013272569196682182, NaN, -0.06581801606431559, 0.9526247789186382, 0.9068487274605701, NaN, 0.36224354897175526, -0.12209331800532008, 0.34882748154048815]; [0.0011820930856965006, -0.013272569196682182, -0.06581801606431559, 0.9526247789186382, 0.9068487274605701, 0.36224354897175526, -0.12209331800532008, 0.34882748154048815]
IsNotNaN; [0.7088533046019381, -0.1321344581551065, NaN, -0.6053792523377952, NaN, 0.6287746438619306, NaN, -0.7026392828639556, 0.04133498970037186, 0.20957317200657744]; [0.7088533046019381, -0.1321344581551065, -0.6053792523377952, 0.6287746438619306, -0.7026392828639556, 0.04133498970037186, 0.20957317200657744]
IsNotNaN; [-0.005426926426707501, -0.6817893762510054, NaN, NaN, -0.6253962517298202, -0.603013628154939, NaN, -0.06654256439628803, -0.9930148750936805, 0.03380078811229148]; [-0.005426926426707501, -0.6817893762510054, -0.6253962517298202, -0.603013628154939, -0.06654256439628803, -0.9930148750936805, 0.03380078811229148]
DivisibleByTwo; [-0.9747781687880479, 0.7785046679045842, 0.6088468623782388, -0.24686949753478205, -0.27073979831858086, 0.143249893644249, 0.9958187923758302, -0.17165544009260358, 0.23939039077710755, -0.7630865121431956]; []
DivisibleByTwo; [0.1501009939904041, 0.5638750339473788, -0.1310796330633499, 0.9050647699616488, 0.0764465896991855, -0.6361495887908215, -0.7881129246749006, -0.9304933193748921, -0.0306890691222641, 0.060153121185466674]; []
IsNotNaN; [-0.7084738187906578, NaN, NaN, -0.47049655636002363, -0.03627434808852259, -0.2310192369932773, 0.1796682835325214, -0.5016877550947796, -0.27530576154410324, -0.1883587768300865]; [-0.7084738187906578, -0.47049655636002363, -0.03627434808852259, -0.2310192369932773, 0.1796682835325214, -0.5016877550947796, -0.27530576154410324, -0.1883587768300865]
IsNotNaN; [-0.48222760752139027, 0.6156860633587766, 0.1443416305982188, -0.490017841540372, 0.7286225364918646, 0.369108225359013, -0.9683681886959064, -0.6405985725158985, NaN, 0.2239607438209259]; [-0.48222760752139027, 0.6156860633587766, 0.1443416305982188, -0.490017841540372, 0.7286225364918646, 0.369108225359013, -0.9683681886959064, -0.6405985725158985, 0.2239607438209259]
DivisibleByTwo; [-0.8645617630100515, -0.10237854399576607, 0.18815827875439162, 0.48719221249625266, -0.30580611864646645, 0.39697521212964904, 0.6441832750946188, -0.17292294208753356, 0.46989522474639567, 0.3601527625989902]; []
IsNotNaN; [NaN, NaN, 0.03678498081985948, NaN, 0.5543626424089418, 0.3930656751532551, NaN, -0.775119809104367, 0.9916200662890304, NaN]; [0.03678498081985948, 0.5543626424089418, 0.3930656751532551, -0.775119809104367, 0.9916200662890304]
IsNotNaN; [0.9176679759041073, -0.14660663674550167, 0.12347829718612457, -0.012518121898011492, 0.08769107319992608, -0.9836451271651305, 0.6216713471208775, 0.2694013082290818, -0.8857570271995949, 0.6715544254530188]; [0.9176679759041073, -0.14660663674550167, 0.12347829718612457, -0.012518121898011492, 0.08769107319992608, -0.9836451271651305, 0.6216713471208775, 0.2694013082290818, -0.8857570271995949, 0.6715544254530188]
IsNotNaN; [-0.4340603880504026, 0.7678608019189712, -0.5950071874669682, 0.01592419826149505, -0.37202432761432114, 0.22197097216743567, -0.8711418660033359, NaN, -0.6627728912354349, NaN]; [-0.4340603880504026, 0.7678608019189712, -0.5950071874669682, 0.01592419826149505, -0.37202432761432114, 0.22197097216743567, -0.8711418660033359, -0.6627728912354349]
DivisibleByTwo; [0.801843055002653, 0.6216961474791054, 0.10806209923310983, 0.7919589953358919, -0.35828469734057977, 0.6952994692102548, -0.0011836244370948545, 0.5012622843380277, -0.7627626323681831, -0.4520186741057681]; []
IsPositive; [-0.7232414734756734, 0.5961095919517623, -0.6625669874809903, 0.12963970851885653, 0.7790240262846746, 0.4515694139629933, 0.6386353497111699, -0.5967251604868407, 0.7880851884693856, 0.636530258109147]; [0.5961095919517623, 0.12963970851885653, 0.7790240262846746, 0.4515694139629933, 0.6386353497111699, 0.7880851884693856, 0.636530258109147]
IsNotNaN; [-0.6681710087153034, -0.11325637824227508, NaN, 0.9418025142163005, -0.12993598890538482, -0.3141592762506129, -0.03208491920226053, NaN, -0.07451501167432495, -0.14797972285348204]; [-0.6681710087153034, -0.11325637824227508, 0.9418025142163005, -0.12993598890538482, -0.3141592762506129, -0.03208491920226053, -0.07451501167432495, -0.14797972285348204]
DivisibleByTwo; [0.49180499998715255, 0.21801820650055226, 0.827784729009988, -0.26403850356133374, -0.44103663397586423, 0.956579964458373, -0.0893435332187622, -0.8414278237646624, 0.5370044910102476, 0.008935303795368554]; []
DivisibleByTwo; [0.14008608885476348, 0.6839153836067997, -0.9203317113400256, 0.9737239444518739, -0.8419108287278292, 0.05393456546540776, -0.45577281060883656, -0.1403765805644095, 0.44776521992060303, -0.06725676245582557]; []
IsPositive; [-0.6014736229106528, 0.7230611413244736, -0.2896941584664403, -0.4913640482036643, 0.4553654561032692, 0.16990358310061104, -0.2581399045704953, 0.21486818747053293, 0.6254440606284655, -0.16919679010179745]; [0.7230611413244736, 0.4553654561032692, 0.16990358310061104, 0.21486818747053293, 0.6254440606284655]
DivisibleByTwo; [-0.8920750807716997, -0.14435752102143762, -0.4538893746039694, -0.1484764477415883, -0.26480463687812006, -0.23836955532469717, -0.07833150661114208, -0.31629539211606295, 0.17557384770924145, 0.24974859008161276]; []
IsPositive; [-0.29799066404027963, -0.981830468718182, 0.74430401186655, 0.6247993934461613, 0.3298599071781414, -0.42798355817068456, -0.006039981016692009, -0.7640235906606656, -0.7970572810486563, -0.37762234296719366]; [0.74430401186655, 0.6247993934461613, 0.3298599071781414]
IsNotNaN; [-0.9417121869379852, 0.6891260304210851, 0.22586827015758648, -0.32612900568321757, -0.7153390605345862, -0.7839535075598458, 0.8675908656984248, -0.5465926941409143, -0.7288217090439784, -0.5850024888524703]; [-0.9417121869379852, 0.6891260304210851, 0.22586827015758648, -0.32612900568321757, -0.7153390605345862, -0.7839535075598458, 0.8675908656984248, -0.5465926941409143, -0.7288217090439784, -0.5850024888524703]
IsNotNaN; [-0.5062237096317845, -0.4548405618838829, -0.06580280968384766, NaN, 0.9094451543594804, -0.5898612089627611, 0.5543616225887831, -0.1497427907893012, -0.9742285038588276, NaN]; [-0.5062237096317845, -0.4548405618838829, -0.06580280968384766, 0.9094451543594804, -0.5898612089627611, 0.5543616225887831, -0.1497427907893012, -0.9742285038588276]
IsNotNaN; [NaN, -0.0540888852264616, -0.6440690373340401, 0.4630581165542593, 0.34562929599268255, -0.049748027791258975, 0.6484103116726156, NaN, -0.8875166844377422, 0.8351234276669595]; [-0.0540888852264616, -0.6440690373340401, 0.4630581165542593, 0.34562929599268255, -0.049748027791258975, 0.6484103116726156, -0.8875166844377422, 0.8351234276669595]
IsNotNaN; [0.38220327151867317, -0.7806091652788762, -0.5685829816170238, 0.7451696670124484, -0.9231642280058998, 0.848413688954577, 0.9368435932451191, 0.8414539329288875, NaN, -0.4945519539607295]; [0.38220327151867317, -0.7806091652788762, -0.5685829816170238, 0.7451696670124484, -0.9231642280058998, 0.848413688954577, 0.9368435932451191, 0.8414539329288875, -0.4945519539607295]
DivisibleByTwo; [0.8987952973965827, -0.6062711076976077, -0.0014878616545885848, 0.1461140872381761, -0.6406191864685407, -0.6859537915574898, 0.331357922205461, -0.11975294925038371, -0.0662274967177452, -0.3377157064522245]; []
DivisibleByTwo; [0.8880383711052031, 0.861203667480416, -0.31332741357303284, -0.6954363832957369, 0.6840277141102131, -0.5055318443346213, -0.05752510691833401, 0.8684088666816179, -0.34539641282405253, -0.9169491956038254]; []
IsPositive; [0.1471019177363586, -0.5860908691506492, -0.8286400952953497, -0.79118814064812, 0.9717644494081918, 0.8280165813284266, 0.7236460864495218, 0.6429853880615386, 0.733655730060071, -0.1504838275742637]; [0.1471019177363586, 0.9717644494081918, 0.8280165813284266, 0.7236460864495218, 0.6429853880615386, 0.733655730060071]
DivisibleByTwo; [0.3370151529755012, -0.6141828705069505, 0.9058580164851182, 0.8450875592051568, 0.6542794765812938, -0.4456283867899593, -0.0014949308304499365, -0.01772634606298551, -0.22921306791669527, 0.2692045931764502]; []
IsPositive; [0.4155096440325028, -0.7169418598261883, -0.10595226598123242, 0.4347367824940185, 0.025930459796407623, -0.8078530038863188, -0.31114330207764707, -0.6351935284763615, -0.8636806614576447, 0.7569386527117747]; [0.4155096440325028, 0.4347367824940185, 0.025930459796407623, 0.7569386527117747]
DivisibleByTwo; [-0.2274285062837269, 0.5740181078748021, 0.31015418358893676, -0.7084419999911724, -0.7587772086179441, 0.7371458426013018, -0.9472703294046283, 0.4852210573654536, 0.33564923832459104, -0.18700972338359523]; []
DivisibleByTwo; [-0.23535748886241303, -0.6844139557676487, 0.39786364938237995, -0.3642718481752518, -0.435725832084219, -0.15936073494783742, -0.8786257661256434, 0.8959359299591951, 0.5894400631542396, -0.031946944713965086]; []
IsPositive; [0.7651995430899232, 0.36510658521371897, -0.7893616681300679, -0.3611554479044352, -0.5201688043334778, -0.5383776277088104, 0.22309887077088808, -0.48744511477364094, -0.8155853150140115, -0.18721504513100373]; [0.7651995430899232, 0.36510658521371897, 0.22309887077088808]
IsPositive; [-0.46790283759829965, 0.20405817350502597, -0.462065827861349, -0.663354309682032, 0.10576465276927172, -0.6024988279116288, 0.46320170292019514, -0.4509805412899677, -0.958108853302577, -0.2492355542496103]; [0.20405817350502597, 0.10576465276927172, 0.46320170292019514]
IsPositive; [-0.5890312189458653, -0.7047939976197979, 0.4799829542128733, 0.4042268686404382, 0.09249191724523853, -0.08741714046605198, -0.21289705745544318, -0.8794939719865063, 0.7624008669283966, -0.05062401400472338]; [0.4799829542128733, 0.4042268686404382, 0.09249191724523853, 0.7624008669283966]
DivisibleByTwo; [0.955787410973086, 0.6072371721765011, 0.2997332254512428, -0.0034473012441318396, -0.5254022005384678, -0.587155460942514, -0.6864856286875396, -0.06607539926851036, -0.9333673196871632, 0.9356492346307526]; []
DivisibleByTwo; [-0.7097214911453245, -0.05181349125434931, 0.6385898144525466, -0.45045150798499445, -0.5955592916346322, -0.9502405193053438, -0.45726532545150134, 0.6248920131923252, 0.028446797893942666, 0.4969465778941362]; []
IsNotNaN; [0.8263966631334165, -0.6889288075020386, 0.20814245223698546, NaN, NaN, -0.6522718675567674, -0.5901802917447201, -0.8752633786236366, NaN, -0.11561835968757772]; [0.8263966631334165, -0.6889288075020386, 0.20814245223698546, -0.6522718675567674, -0.5901802917447201, -0.8752633786236366, -0.11561835968757772]
DivisibleByTwo; [-0.3010867736386684, -0.9069088303529478, -0.530229100739094, -0.6863411649249118, -0.8236641238806177, 0.792412509413527, 0.08259209624197195, 0.46120984338497073, 0.9769572121295731, -0.054020380455253925]; []
DivisibleByTwo; [-0.10004335702867251, -0.8742241226933185, 0.42574574083960903, -0.363369565818755, 0.26881591139860617, -0.07422989427532234, 0.050609824316114826, 0.40314902259201313, 0.8474330731284136, -0.3158783304246453]; []
