Operator; Left array; Right array; Expected result
DoubleSumSqrtsOfTwo; [0.7210052592975178, -0.1392296579461607]; [0.6417186695995436, -0.2355663717866201, 0.3895686974291406, -0.09295837748234859, 0.4634951073615645, 0.9445505857701622]; [1.650193733847051, NaN]
DoubleProductOfTwo; [0.3353437378611288, 0.9237432900590741, -0.46961242614478227, -0.2730315738204989, 0.6819757800218755, -0.745670404342921, -0.922931467693991]; [-0.4954281556157334, -0.5821410545690464, 0.21567670008443174]; [-0.16613872954582504, -0.5377488930260699, -0.10128445838955055]
DoubleSumOfTwo; [-0.6056189368283484]; [-0.5297967174937284, -0.5072174532963334, -0.9643451301862469, -0.16611596067974133, -0.8951889072628421, -0.8919239990423184, 0.46449971472492546]; [-1.1354156543220768]
DoubleSumSqrtsOfTwo; [0.4881043102284641, 0.4243887419092638, -0.8153116297410741, -0.4179824962183192, 0.7662832253887957, 0.7196529732417423, -0.020033021549520136]; [-0.11289059528481049, -0.6470165536722388, 0.6181110632183047]; [NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.12727310625121202, -0.11694327094265988, -0.633000146904928]; [0.9563723549901613, -0.5524682253550404]; [NaN, NaN]
DoubleSumOfTwo; [0.06145824858458715, -0.06940381015174979, -0.8287400980510198, -0.8170648670031937]; [0.439667774642047, 0.8141680477138178, -0.298516594111667]; [0.5011260232266341, 0.744764237562068, -1.1272566921626868]
DoubleSumOfTwo; [-0.7152419279696067, 0.6210292752559008, 0.33901022885196563, -0.7626633631589277, -0.49569159424694664]; [-0.27583641796367275, 0.30094444053933445, 0.5640854677788527, -0.857225534765842, 0.4670114707525215, -0.6798575036183594, 0.2154163978769068, 0.8668540416727939]; [-0.9910783459332795, 0.9219737157952352, 0.9030956966308183, -1.6198888979247696, -0.02868012349442517]
DoubleSumOfTwo; [0.1932920036597321]; [-0.27244282280431187, -0.8134813085176065, 0.44700802479364943, -0.3065121211843038, 0.8659512923444543, 0.5520752216154388, 0.0785560896384212, 0.2994227510657814]; [-0.07915081914457978]
DoubleProductOfTwo; [-0.4864056405025756, 0.9926417702895518, -0.4428407810757802]; [0.9209487730793338, 0.03127363056097354, 0.9535962705235592, -0.745936217154267, -0.5547848518785308, 0.7883439604382096, 0.4440440284787033]; [-0.4479546778397145, 0.031043512003426206, -0.42229131726960395]
DoubleSumOfTwo; [-0.4271928786577137, -0.766557416076336, -0.5588789089216422]; [0.328766348425354, -0.6320837386946987, -0.6729196256242718, -0.2830018763972699]; [-0.0984265302323597, -1.3986411547710347, -1.231798534545914]
DoubleSumSqrtsOfTwo; [0.37450496335103844, 0.6674563803395235, 0.41467730038196193, 0.5002459155767185, -0.71742390259216, 0.9651155224184658]; [-0.3872502246730669, 0.22053425910827906, 0.47301282680608314, -0.6661602436642049]; [NaN, 1.2865907894440873, 1.3317137038443274, NaN]
DoubleSumSqrtsOfTwo; [-0.3216159979584894, -0.18721007438687365, 0.4811356298445455, 0.6618609188425719]; [0.3982621946569356, -0.15291464436695246, 0.4856558366871959, -0.5767124608060299]; [NaN, NaN, 1.390529527178229, NaN]
DoubleProductOfTwo; [-0.41174399872777157, -0.18017052325288652, -0.2918811532349883, 0.5692570997991799, 0.3896829333218379, 0.05261202494567652, 0.20669744000757695]; [0.36197692236737433, 0.3627757424624618]; [-0.14904182546271486, -0.06536149534291615]
DoubleProductOfTwo; [-0.8373722085042123, -0.06695155044867618, 0.27280792527832043, 0.25486647100313053, 0.6486888922081806, 0.8291492331874375, 0.4268741203779851, 0.26024146338040755]; [0.7794082566914315, -0.788265893571799]; [-0.652654813232122, 0.05277562374044311]
DoubleSumSqrtsOfTwo; [-0.49949051391110055, -0.909424430289439, 0.6752176547517057, 0.7251527080931253, -0.5358192281234826, 0.23930709154400964, 0.24346060933499447]; [-0.2608232506967638, 0.11235379063285689, 0.450269565592615, 0.4558793480914256, -0.7735161686597902, -0.06690158683969472, -0.4096531408228423, -0.6496074912664185, -0.1247491485237966]; [NaN, NaN, 1.4927375715439855, 1.5267473665618172, NaN, NaN, NaN]
DoubleSumOfTwo; [0.5440562662543376, 0.8778740664146223, 0.09413863361836006, 0.47549167035480266, -0.3422778975358691, -0.2670421138823895, 0.46233923857921044, -0.5365221147085579]; [0.3378193661983788, 0.3928441604057955, 0.1676119463798409, -0.08321574590874747]; [0.8818756324527164, 1.2707182268204178, 0.26175057999820095, 0.3922759244460552]
DoubleSumOfTwo; [0.16987708420803815, -0.12508705558862898, -0.38305606755118293, -0.7367972642535701, 0.8929449382920567, 0.8718348589524925]; [0.8786128091247292, 0.49997405909222636, -0.9742900539536927, 0.72787580459275, 0.9089207534583923, -0.18451377557293025, -0.9308924579255395, 0.7722896122403085]; [1.0484898933327673, 0.3748870035035974, -1.3573461215048757, -0.00892145966082003, 1.801865691750449, 0.6873210833795622]
DoubleSumOfTwo; [0.4186860467169824, 0.16379551902777112, 0.978847219128474, 0.9751918691231618, -0.8479865337452859, -0.4369742268974559, 0.7751014151919282]; [-0.8567389177417111, -0.19505592701677688, 0.6719071123121396, -0.6070659483916945, -0.31293349211094923, 0.32916232381587895]; [-0.4380528710247287, -0.031260407989005756, 1.6507543314406137, 0.3681259207314673, -1.160920025856235, -0.10781190308157695]
DoubleSumSqrtsOfTwo; [0.5444170186235522, 0.1758737675232276, 0.36877514637831577, -0.05398288179164101, 0.37069044083613845, -0.22363515217083085, 0.37844339890064216, -0.16130890370351314]; [0.4830686319742057, 0.650656403496541, -0.4109480566060675, -0.8045694157539336, -0.060640951871123505, -0.1779805282028124]; [1.4328775917547958, 1.2260058211272995, NaN, NaN, NaN, NaN]
DoubleProductOfTwo; [0.904895959644167, -0.9556725524892555, 0.5910830190109424]; [0.1350088726035792, -0.7551046028323469, 0.1502212315454161, 0.7026891068646082, 0.8348159983997807]; [0.12216898333509288, 0.7216327431851746, 0.08879321906140637]
DoubleSumOfTwo; [-0.1081565281253214, -0.8631313796002036, 0.9084153196515077, -0.02041519415402404]; [-0.30943549176961715, 0.9526055191709011, -0.42331517166332056, -0.07010592708301666, 0.8924054174357883, -0.18469500367338787]; [-0.41759201989493855, 0.0894741395706975, 0.4851001479881871, -0.0905211212370407]
DoubleProductOfTwo; [-0.5023766318537912]; [0.9584346530204506]; [-0.48149517283637105]
DoubleProductOfTwo; [-0.6795615703727196, 0.8525119958322427, -0.7825091122729575, 0.8842402050098523, -0.030794476414695682]; [0.795214696538799, 0.31452062886312926, 0.5596571193278195, 0.1547880362084011, 0.2887903328443373, 0.44386455388057655, 0.02456808915786879, 0.8954388715003332, 0.6522404048346773]; [-0.5403973479633719, 0.2681326090425184, -0.43793679562245263, 0.13686980486998904, -0.008893147093567061]
DoubleSumSqrtsOfTwo; [-0.9249546784375215, 0.19121148803222243, -0.6700335940101922, 0.24690998481848325, 0.5035194448836473]; [0.03426651452602969, 0.6705140581791444, 0.00846245894149611, 0.9386576760859584, -0.5652962315944239, -0.5616691815246444]; [NaN, 1.2561265862328688, NaN, 1.4657438506269933, NaN]
DoubleSumSqrtsOfTwo; [0.15096027924371125, -0.7463455524776661, -0.9377733699698079, 0.5455829756518151, 0.5694795237515797, 0.3285780386980013, 0.9799589897940719, -0.8367914455456098, 0.04776487605587243]; [-0.1740206208069528, -0.9836378144361972, 0.2542709278738531, 0.020009686931224513, -0.2908217382569218, 0.3731918508848322]; [NaN, NaN, NaN, 0.8800914889781734, NaN, 1.1841115742468937]
DoubleSumSqrtsOfTwo; [0.15421941508994674, -0.6590769906990848, 0.8465501107771005]; [-0.5753657679674831, -0.3560805445002788]; [NaN, NaN]
DoubleProductOfTwo; [-0.7141749665160031, 0.6408390839547737, -0.7884111056242735, 0.5882668126790198, 0.8325897814377532, -0.21927379573308192, -0.25360647136918835, 0.40265406736981935]; [-0.8301687566177736, 0.9325855605517981, 0.9171140733997596, 0.36151060421922865]; [0.5928857439601304, 0.5976372763334634, -0.7230629205926856, 0.21266469089371226]
DoubleSumSqrtsOfTwo; [-0.6691911984443344]; [-0.5264374829432603, -0.48314763647548964, -0.9224098719236453, -0.12989465664584632, 0.2128135633810102]; [NaN]
DoubleProductOfTwo; [0.7223504179710347, -0.6423662861214583, 0.5802082608598957]; [0.4559484376331151, 0.20749946850700152]; [0.32935454449752094, -0.13329066295701905]
DoubleProductOfTwo; [-0.9205115105059489, -0.6122957850770299, 0.7384194549461163, 0.001190487367563886]; [0.7377154919849718, 0.7738743178456791, 0.08680624928153002, -0.814730966561507, -0.13082575024842313, -0.6679442768134938, 0.7626456138554021]; [-0.6790756018507256, -0.473839982996271, 0.0640994232803841, -9.69926923654589E-4]
DoubleSumOfTwo; [-0.42281199620644805, -0.3029766649077408]; [-0.5957862939217691, 0.10166200342239629, 0.6532777841581434, 0.021030242430805535, -0.8682543206185815, 0.28195431785851777, -0.8576172279088643, 0.6340366025232254]; [-1.0185982901282171, -0.2013146614853445]
DoubleSumOfTwo; [0.7106178723769967, 0.637900443896231, 0.9559412339865465, -0.6411214350360213, 0.15851245701714411, -0.517757710523352]; [0.419412160012713, 0.17701392181313658]; [1.1300300323897097, 0.8149143657093676]
DoubleSumOfTwo; [-0.5182584731028226, -0.6929823828690056, 0.1312832662234995, -0.14043766983882455, -0.22773742106839712, 0.7047090511460101, 0.19972078188784925]; [0.013416979681606156, -0.5297920423896854, 0.38418230718006496, 0.09324957661324862, -0.48046031676054546, -0.20508109866117752, -0.7483098121150376]; [-0.5048414934212164, -1.222774425258691, 0.5154655734035645, -0.04718809322557593, -0.7081977378289426, 0.4996279524848326, -0.5485890302271883]
DoubleProductOfTwo; [-0.10931811628668564, -0.032496306004119235, -0.8224465606660187]; [-0.3145796373025087, 0.32683920768794716]; [0.03438925337205904, -0.010621066907171411]
DoubleSumOfTwo; [-0.12019640551057753, 0.4209144887030447, 0.8527700800149762, 0.7044416701688836]; [0.27140211991817664, 0.26722373056229864, -0.7972672282830624, 0.4788656725369982, 0.4044389484099471, -0.9278554941359327]; [0.1512057144075991, 0.6881382192653434, 0.05550285173191383, 1.1833073427058818]
DoubleProductOfTwo; [0.11148438438188735, 0.12130038451184122, 0.4749789244730691, 0.36343446670667956, 0.06746162580677106, -0.27283948589497586, -0.5918701118961895, 0.20518852089380357, 0.7529265434856212]; [-0.23955836482744064, 0.939814095651984, 0.49370851750432654, 0.9122149635781538, -0.6889681146490967, -0.27206994664789197, 0.578616036847132, 0.9925698973658263]; [-0.026707016826318795, 0.11399981117223398, 0.23450114064739844, 0.33153035880987947, -0.04647890914325391, 0.07423142437088436, -0.34246553847364175, 0.20366394912420832]
DoubleProductOfTwo; [-0.709177039559771]; [-0.637405546307904, -0.06709754006940738]; [0.4520333783296179]
DoubleSumOfTwo; [-0.798335946026695, -0.8942099126002137, -0.1653922974152915, 0.9881871839510203]; [-0.15338200617960007, -0.48495990636341113, -0.7267612517662323, -0.2934648103307529, -0.3974748625090814, -0.37584638040399754, -0.4211211510970936, -0.02223832648293711, 0.7041958787983948]; [-0.9517179522062951, -1.3791698189636248, -0.8921535491815238, 0.6947223736202675]
DoubleSumSqrtsOfTwo; [0.25897724961447666, -0.04693331452357863, 0.5112300923198605, -0.03696169339261246, -0.6726529025565102, 0.2678403258657689, -0.4662717717565261]; [0.9816946198175842, -0.7999437920965635, -0.2816754650734772, -0.6899152638304993, -0.027744054117824213, -0.37129580998969614, -0.7330842209141368, -0.7292329909536082, -0.820418170652988]; [1.499703110124849, NaN, NaN, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [0.26689631962410676, -0.985620682869137]; [-0.6392207456117818, 0.0694530702792826, 0.4725881099755711]; [-0.372324425987675, -0.9161676125898544]
DoubleSumSqrtsOfTwo; [-0.17737333674136457, 0.11675741699930953, -0.8380098421172555]; [0.7431982581971086, 0.26589477333178135, 0.9342367079232567, 0.6739725037337774, -0.12855813087770906, -0.698499042450931]; [NaN, 0.8573476999517413, NaN]
DoubleSumSqrtsOfTwo; [-0.9953558667528077, -0.020603074011499523, 0.7086639538925448, -0.07169877725435536, 0.4816479827594595, 0.30581689376864585, -0.7162192718537792]; [-0.4595676802901776, 0.579073522154361, 0.054706969337505074, 0.9497650405075071, 0.6858716888373597, 0.5076726799779792, -0.33269948090791224, -0.7840600672472402]; [NaN, NaN, 1.0757170166598766, NaN, 1.5221823399805683, 1.2655186668927707, NaN]
DoubleSumSqrtsOfTwo; [-0.4961985171163621, 0.4256129774306341, -0.9469487449203622, -0.02682737325326512, 0.24171713044913168, 0.9076301169026868]; [-0.7439270991183353, -0.06961056524483378, 0.9426733456211258, 0.8303659772447429, -0.7443861348891434, -0.7453397115398539]; [NaN, NaN, NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.3549867365356245, -0.9735083257510255, 0.5798273087958898, 0.6434288540587989, 0.2513813653516197, 0.5777949959358388, 0.7577999194701361]; [0.3562938840739285, 0.6007707806848694, 0.1974872217563477, -0.4569939914931114, -0.9049256346564432, 0.216812363111494]; [NaN, NaN, 1.2058592688017065, NaN, NaN, 1.225759420885809]
DoubleSumSqrtsOfTwo; [0.7945649340239713, -0.6879435457043901, 0.04471918039807776, -0.29253727779924077, -0.981861280135341]; [-0.9241847327110875, -0.1260490111533794, -0.14429597968010266, -0.6527803239336378, 0.1356596173267004]; [NaN, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [0.04336132328074438]; [0.06782019298389397, 0.12153285074686537, 0.5758624561946537, 0.3800020137611597, -0.9647326143552486, 0.8015039463220304, -0.49622023674974836, 0.5513474532166662, -0.7818898945217034]; [0.11118151626463835]
DoubleProductOfTwo; [-0.2993546856778371, 0.2327275649995697]; [-0.1921719051200499, -0.927552686501103]; [0.057527560253323666, -0.21586707813821096]
DoubleProductOfTwo; [-0.5488566451063464, 0.4481375287553877, -0.8380341403698899, 0.8212060694124392, -0.4564702994551719, 0.8057819601844849, -0.966530863192441, -0.9928671011105037]; [-0.5761050615803212, -0.6184365618294156, -0.6865267429383346, 0.06876674735706723, -0.16281721616892586, -0.07443340217145411, -0.21255919398453682, -0.25536921454290895, 0.37268053664259515]; [0.31619909132776014, -0.2771446325102129, 0.5753328488592676, 0.056471670303375424, 0.07432122342108705, -0.059977092704914386, 0.20544502124136388, 0.25354769175608427]
DoubleProductOfTwo; [0.9687728827513025, 0.9050637706944107, -0.7621678126943756, -0.5021008043772619, 0.4890423279677063, -0.0031615278606254016, 0.7627135455378793]; [-0.2403841099283277, -0.93633024535143]; [-0.232877607142872, -0.8474385824729879]
DoubleSumOfTwo; [0.210811110140664, 0.3471521378766398, -0.7140720382999663, -0.7809751251801536, 0.6793211489500384, 0.5785557557658623, -0.7592523340443691, 0.0334908915512393, 0.7243970867911649]; [0.35855833263009185, -0.5377568103100625, -0.04188330270197205, 0.27178753604219774, 0.6708703693797835, -0.8406890747454896, -0.7098963853454858, -0.9325612863928785, 0.8686929758589235]; [0.5693694427707559, -0.19060467243342272, -0.7559553410019384, -0.5091875891379558, 1.3501915183298219, -0.2621333189796273, -1.469148719389855, -0.8990703948416392, 1.5930900626500883]
DoubleSumOfTwo; [0.24524140828360053, 0.7674485079280853, 0.776557283015959, -0.947442304172875, -0.34468035984244416, 0.3487693951159805, 0.5942264019070358]; [0.7364062955162329, -0.1748214560360697, 0.40054293771411675, 0.6078694728871212, 0.18917951432427293, -0.6006971208554777, 0.23468546971573878, -0.17431404403525907, 0.5911353807381592]; [0.9816477037998335, 0.5926270518920156, 1.1771002207300758, -0.3395728312857538, -0.15550084551817123, -0.2519277257394972, 0.8289118716227746]
DoubleSumSqrtsOfTwo; [-0.8058418126094515]; [0.22261278234136883, -0.47848922405155103, 0.45857115350576505, -0.5420014014150414, -0.4423823356007126, -0.6546235819654362, 0.6675773931403988, -0.45051570084396064, 0.14560603413801432]; [NaN]
DoubleProductOfTwo; [-0.48961343278052305, 0.8469033932694738, 0.2998184178320915, 0.07493641033253207, -0.709663222455567]; [-0.08803124159923481, 0.5281909160315308, -0.35068910485545945, 0.04884631131741557]; [0.04310127839133294, 0.44732667908121515, -0.1051430525687163, 0.003660367228112458]
DoubleSumSqrtsOfTwo; [-0.9234926959272973, 0.4478951230907784, -0.9366317872302303]; [0.06959376098562076, 0.805283501811537]; [NaN, 1.5666255694366453]
DoubleProductOfTwo; [0.03056077061914153, -0.5411674564214308, 0.5685765823925482, -0.13922568808027536, -0.21147430412913937, 0.31977606238129885]; [-0.5568568649053525, 0.8486630346685771, 0.8904457878606891, -0.05124537447358901]; [-0.01701797491606676, -0.4592688158304864, 0.5062866228676706, 0.007134672522016809]
DoubleSumSqrtsOfTwo; [-0.4511259488591852, 0.4814437847318722, -0.9571776883400356]; [0.1112803787892569, -0.4057825597893814, 0.1563898548263951, 0.15020186305851047, 0.8442977954921385, 0.10411083796149412, -0.6164091395256157]; [NaN, NaN, NaN]
DoubleProductOfTwo; [-0.5906157612624705]; [0.8950328583712415, 0.3276518264442978, -0.8982823081964442, -0.8019495174735594, -0.7102122439051635, 0.4512045195691925]; [-0.5286205130018558]
DoubleSumOfTwo; [-0.01637287434449508, 0.8858020247816687, 0.12795715556262754, -0.9728383304985915, 0.46087066407573074]; [-0.474320631990619, -0.14525453672847277, 0.13990570966869953, 0.3856263430313953, 0.27680786976611604, -0.013233361148914824, 0.5043434152790525, -0.9994762743789458, -0.6361048916791461]; [-0.4906935063351141, 0.7405474880531959, 0.2678628652313271, -0.5872119874671962, 0.7376785338418468]
DoubleProductOfTwo; [0.5479119323752608, -0.5712843946899571, 0.2012877626265508, 0.3968836473046744, 0.31857411926968604, 0.37221148071154353, -0.04592274752285075]; [0.9541399444358174, -0.5904801802124471, -0.3107542808222761, 0.16885009407179252, 0.47513950436494, -0.35759598390047564, 0.0760841948041533]; [0.5227846607122527, 0.3373321123290846, -0.06255103391333881, 0.0670138411829504, 0.1513671491332959, -0.13310133066409732, -0.0034939952684705246]
DoubleProductOfTwo; [0.3320379122640298, 0.713685328761426, 0.7521250648008506, -0.7781673784348528, 0.7662674673754688]; [0.27027558929348205, -0.47807911098723976, 0.2146303705346868, -0.4881814666782074, -0.9476853516595694]; [0.08974174240493814, -0.3411980474988985, 0.1614288813466319, 0.3798868921254621, -0.7261804542850088]
DoubleProductOfTwo; [0.6203101852449138, -0.6347800728106161, 0.5139612796938047, 0.9034389291034248]; [0.1296860679657139, -0.7161098974910096, 0.05226954855098365, -0.9016919841680322, -0.4604277119046156, 0.2831204251030852, -0.8375407596851319, -0.08321099565559287]; [0.08044558884349648, 0.45457229286974593, 0.026864524062281007, -0.8146236405579093]
DoubleSumOfTwo; [-0.6767448671188165, -0.5229190212810366, 0.17825414945926443]; [0.09154087727449589, -0.8752918217000307, 0.3104703335389509, -0.5397650697231904, 0.5655828951164583, 0.05342873438883622]; [-0.5852039898443206, -1.3982108429810673, 0.48872448299821536]
DoubleSumOfTwo; [-0.3269964453910883, -0.11942002117799788, -0.29849028699533764, -0.3819908646778125, -0.7578115859692085, -0.3029402002175494, -0.14840572329534174]; [-0.5750308350638598, 0.2458577099324899, -0.9234000704059149]; [-0.9020272804549481, 0.12643768875449202, -1.2218903574012525]
DoubleSumOfTwo; [0.028096834056598352, -0.07242257228627125]; [0.4472528356174239, -0.2818193632911856, 0.30567748112283466, -0.7699046645485439, 0.8292824700073711, 0.7767941781260101, 0.542887088479427]; [0.47534966967402226, -0.35424193557745687]
DoubleSumOfTwo; [0.23607768655833317, -0.8090925345090041, -0.39536552592284036]; [-0.9727102741485725]; [-0.7366325875902393]
DoubleSumOfTwo; [0.27506870098220704]; [0.6674323572625243, 0.702646183234318, -0.2711514753990325, -0.24976459818666363]; [0.9425010582447313]
DoubleSumOfTwo; [-0.9521890909703499, 0.715013865473981, -0.011216394773717164, -0.6798179396671467, -0.31409802448327007]; [-0.6988747588845807, -0.32380974219090697, 0.6613946342116677, 0.7889400500819315, -0.7160052801940451, 0.11228305007163764]; [-1.6510638498549306, 0.3912041232830741, 0.6501782394379505, 0.10912211041478481, -1.0301033046773151]
DoubleSumSqrtsOfTwo; [-0.046535258298940674, 0.9153119971913397, 0.6010879551238566, 0.3922092153496963]; [-0.11255167566246604, 0.625061488948655, -0.7270604799288343, 0.12695424008644718]; [NaN, 1.7473276962415385, NaN, 0.9825724750257253]
DoubleSumSqrtsOfTwo; [-0.781584392401534, -0.5996313417727337, 0.8569110464912746, -0.9170613370139848, 0.666452501777036, -0.8104176541924268, -0.33211198677853293, -0.2855149230913312]; [0.31607725694400335, -0.7727906800384039, 0.4246683269431384]; [NaN, NaN, 1.5773607084948758]
DoubleSumSqrtsOfTwo; [0.16441136521000255, 0.5722382378929434]; [-0.856406307083889, -0.07975178930053306, 0.950584687465492, 0.20176334935447504, 0.8018469924953586, 0.8161637675511533, 0.261348986449472, -0.9776672505669932, -0.21408100769166016]; [NaN, NaN]
DoubleProductOfTwo; [-0.2744997811413301, 0.550316252609744, -0.6032482112295798]; [-0.987474470558344, -0.623866083087899, 0.9510911959093109, -0.15149741244980053, -0.44902034506795396, -0.16477508071359837, -0.07492478820425119, -0.1647437274127308]; [0.27106152605091627, -0.3433236449752518, -0.5737440626484936]
DoubleSumSqrtsOfTwo; [-0.5912011792806442, 0.5279314688805945, 0.5105761281939767]; [-0.9997682649454231, -0.22270941031961367, -0.9022292814073778, 0.5590254086379691, -0.9330114589015521, 0.03014588699665599]; [NaN, NaN, NaN]
DoubleSumOfTwo; [-0.9669970799779175, 0.42418552823911915]; [-0.048553720123548416, -0.3706017692069865, -0.5771298358331656, 0.7128059880649271, -0.3643758834574935, -0.9830652296839577]; [-1.015550800101466, 0.05358375903213264]
DoubleSumSqrtsOfTwo; [-0.7905273912480759, 0.9102663072053447, -0.1192008418871795, 0.5560732713312349, 0.8655196305650354, -0.03767894143122441, 0.9534837622528054, 0.6365474374293338, 0.5551457037978333]; [0.22414146533294232, 0.19582653032861552, -0.8324290958735294, -0.47556623127921127, 0.5804248855595271, -0.5072568021179127, 0.8574784264615674, 0.7202427170735803, 0.9954228683698043]; [NaN, 1.396601689141229, NaN, NaN, 1.6921892856216465, NaN, 1.9024662415828897, 1.646510378094435, 1.7427898142641443]
DoubleSumOfTwo; [-0.5287110582419943]; [-0.08522900837832759, -0.5496120028518308]; [-0.6139400666203219]
DoubleProductOfTwo; [-0.7306846703211114, -0.38651614745656504, 0.10421955774054092]; [-0.7248221447184939, -0.6425618965855369, -0.6279902907541646, -0.546989585337996, 0.25976095084807826]; [0.5296164298550736, 0.24836054877062547, -0.06544887036775274]
DoubleSumSqrtsOfTwo; [-0.7485525830857969]; [-0.15110341910766367, -0.6742568139089715]; [NaN]
DoubleSumOfTwo; [0.21869383003522125, -0.8734156372775239, 0.6305224785803667]; [-0.9265794866072405]; [-0.7078856565720193]
DoubleSumSqrtsOfTwo; [0.6485899435682614, -0.77321975389424, -0.03204829486335936, 0.010396836971126255, -0.32833424625556784, -0.21057879121095247]; [0.6498412444235993, 0.08458173621037801, 0.5024511356111105, 0.20416934420539623, 0.6358468460631308, -0.7199788177908963, -0.29811381028970074, -0.44468451781949336, 0.8016646423798874]; [1.6114781329707686, NaN, NaN, 0.5538159009905171, NaN, NaN]
DoubleSumOfTwo; [-0.47269157517431193, 0.7974778949732548, -0.2852832936958265]; [-0.007454049229020487, -0.303895578764364, -0.2748553755767975, -0.7675499286829202, -0.00967244791061539, 0.10537562786781796]; [-0.4801456244033324, 0.4935823162088908, -0.560138669272624]
DoubleSumOfTwo; [0.9878290291098644, -0.585108102614248, -0.030278587665509393]; [-0.08921493172672723, -0.5720872996455799, -0.8149899708030077, -0.44718792579322364, 0.7150011244076533, 0.0749197939623798]; [0.8986140973831371, -1.1571954022598279, -0.8452685584685171]
DoubleSumOfTwo; [0.5872356034570592]; [-0.33358777285060714, 0.7955160176629288, -0.3430508522141471, 0.12935711551440687]; [0.253647830606452]
DoubleSumOfTwo; [-0.9348692437609414, 0.4558946541374027, 0.05372829631575127, 0.5464592027279715, -0.39628978070446075, 0.18020220071363235]; [0.22113556025419823, -0.9729931100888314, -0.8746058549960156, -0.49331292635084534, 0.9314892275484217]; [-0.7137336835067432, -0.5170984559514287, -0.8208775586802644, 0.05314627637712621, 0.5351994468439609]
DoubleProductOfTwo; [-0.5412480617932989, -0.8212126776262332, -0.1643756960760343, 0.050856490217712436, -0.16778040127236693, -0.3161242059973248]; [0.7475518080780186, -0.9859120230251914, -0.41789137836732726]; [-0.4046109672123037, 0.8096434523324139, 0.06869118620330285]
DoubleSumOfTwo; [0.13857605245789228]; [0.8319612046881437, -0.3397642305188111, -0.647981957780609, 0.9903863117297016, 0.5128314516631829, 0.6554676439888116, -0.5645091044737782]; [0.970537257146036]
DoubleProductOfTwo; [-0.6065842993163963, -0.09377636096135555, 0.3575418902373553, 0.9764444245643937, 0.7292700709524476, -0.6435186052458359, 0.16536087962100576]; [-0.09536690917057333]; [0.05784806977720264]
DoubleSumOfTwo; [0.9909771986790927, -0.028588793804624535, -0.850925186803684, -0.4631305518669089]; [-0.5876640287320332, 0.21314364373996386, -0.9293404017413078, -0.2076930562862176, -0.4292216044023609, 0.400205805618578, 0.781846695934536, -0.949835016206164, 0.6000355620447648]; [0.40331316994705957, 0.18455484993533933, -1.7802655885449918, -0.6708236081531265]
DoubleSumSqrtsOfTwo; [-0.16233727367042872, 0.42573495207746204]; [0.8208562835348379, 0.11960280426512226]; [NaN, 0.998320063211769]
DoubleSumOfTwo; [-0.7839865227750007, 0.8703690420454417, -0.39344584012854344, -0.9787992027737795, -0.0941431960419592, 0.36701990857887035, 0.5948149869340256, -0.6518655358264938]; [-0.17583236384359346, 0.5528588983335878, 0.15895039524633825, 0.16165343270205845, 0.6593559582523911, -0.3928330421066759, 0.5314203680502485]; [-0.9598188866185942, 1.4232279403790296, -0.2344954448822052, -0.8171457700717211, 0.5652127622104319, -0.025813133527805565, 1.126235354984274]
DoubleProductOfTwo; [0.5091205632229567, -0.5838944017458292, -0.37782356327831024, 0.47159810162483407, -0.6080003360720643]; [0.4773203710002041, 0.06409375217878033, 0.26683442067294627, -0.022624684690173424, 0.6793315813440852, -0.4231936456026213, -0.01417209332831093, -0.7950788050643185, -0.7421491437065157]; [0.24301361612141456, -0.03742398308407437, -0.10081633162395617, -0.010669758349746233, -0.41303382976157066]
DoubleSumOfTwo; [0.3202286226290729, 0.5458859018630684, 0.4119369889829074, 0.9459780933863087, 0.5371960100142632]; [-0.1392616965285689]; [0.18096692610050402]
DoubleSumOfTwo; [-0.3677238274985126, -0.008095371796563722, 0.10726902974220054, -0.8968548188646417, -0.17930920549635854, -0.5872214203297828, 0.4727621483288653]; [0.9466169803407671, -0.5876777356006511, -0.5874722655214044]; [0.5788931528422545, -0.5957731073972148, -0.4802032357792039]
DoubleSumSqrtsOfTwo; [0.5117652648914268, 0.5431445616063115]; [0.3477701354802989, -0.4347363873619212, -0.31512046658062576, 0.9489135427438407, -0.022625802080030066]; [1.3050980953918674, NaN]
DoubleSumSqrtsOfTwo; [-0.8977818129886181]; [-0.9031585693305972, -0.27244315343259706]; [NaN]
DoubleSumOfTwo; [-0.895951499721859, 0.4389933922092082]; [-0.008837148870540323, 0.5405765386056824, 0.8322082909021682, 0.9412308768388025, -0.3646328047601033, 0.6771441873356909, -0.13896506849074775, 0.8506385868687787]; [-0.9047886485923993, 0.9795699308148906]
DoubleSumSqrtsOfTwo; [0.5563559012376669, 0.6805676163628007, -0.6064733658162982]; [-0.7203623363275544, 0.6498917074174095, -0.5037100588620913, 0.928485155088957, -0.7682774036826694, 0.8151389184549938, -0.10363571836639363]; [NaN, 1.6311238331286304, NaN]
