Predicate; Input array; Output array
DivisibleByTwo; [-0.7955584188913865, 0.8899261603235984, 0.9858126053325689, -0.3679830389816672, -0.7137133243469806, 0.8354704169048566, -0.13280255016543174]; []
IsNotNaN; [-0.41171962149995833, 0.06477767666472811, 0.5748089146672071, -0.6396069436665719, 0.15053559298072816, 0.833600168879113, 0.5824210517478638]; [-0.41171962149995833, 0.06477767666472811, 0.5748089146672071, -0.6396069436665719, 0.15053559298072816, 0.833600168879113, 0.5824210517478638]
DivisibleByTwo; [0.9147537931715295, -0.9763794769024332, 0.11753463837376943, -0.5841672784166969, 0.8571640351860699, 0.1826513587537386, 0.2288448006866186, 0.3651675198983455]; []
IsPositive; [0.32102057552927943]; [0.32102057552927943]
DivisibleByTwo; [0.485262941850642, -0.23649007422122992, -0.21269163706417848, 0.6618420823785931]; []
IsNotNaN; [0.14634698866114926, -0.34715918413624935, 0.5375721958510042, NaN, 0.8915103325872782]; [0.14634698866114926, -0.34715918413624935, 0.5375721958510042, 0.8915103325872782]
DivisibleByTwo; [-0.994840305430754, -0.07843342700742251, 0.520884608408142, -0.7285073609499426, 0.9038648245698606, -0.5878383828365947]; []
DivisibleByTwo; [-0.37479281334935766, -0.9017022969587123, -0.4276590526889541, -0.9887221512168947, 0.4235367507208405]; []
IsPositive; [0.25480841833292733, 0.8728181228513421, 0.5834543729516759, -0.15669791346829487]; [0.25480841833292733, 0.8728181228513421, 0.5834543729516759]
IsPositive; [-0.7668290422540505]; []
DivisibleByTwo; [-0.0245786804451138, -0.25207072936615904, -0.3571129121955434]; []
IsPositive; [-0.3267502710873309, -0.7847058872013761, 0.9882277261992782, 0.33983467303695325, 0.9009696006946613, -0.35017980832976003, -0.4769787246247208, -0.07500540865907834, -0.9926218243670724]; [0.9882277261992782, 0.33983467303695325, 0.9009696006946613]
IsPositive; [-0.3653920498279217, 0.17928493262214928, -0.29821231932090697, 0.3627761889267691, 0.8560424102137101]; [0.17928493262214928, 0.3627761889267691, 0.8560424102137101]
DivisibleByTwo; [0.01854643809665646, 0.11514938359034854, -0.37372009522332084, 0.68985069050791, -0.21071370083231677, 0.27260634283970586, -0.7103053567944597, -0.5007320633504762, -0.5866867205513957]; []
IsNotNaN; [NaN, -0.41440523499474513, NaN, NaN, 0.8199018812716767, 0.19302051288246447, 0.5325598844230164, -0.06832312875274438]; [-0.41440523499474513, 0.8199018812716767, 0.19302051288246447, 0.5325598844230164, -0.06832312875274438]
IsNotNaN; [NaN, 0.5902180499527601, 0.5593599207297322, NaN, 0.3004454525241882]; [0.5902180499527601, 0.5593599207297322, 0.3004454525241882]
IsNotNaN; [NaN, 0.1077524889665562, NaN, -0.6272618311428542, -0.02676239707960204, -0.8252354087219913]; [0.1077524889665562, -0.6272618311428542, -0.02676239707960204, -0.8252354087219913]
DivisibleByTwo; [0.3758911896528516, 0.7615141312599916, 0.8032954143335038]; []
DivisibleByTwo; [-0.861916814727683, 0.4660839959655161, 0.31247518644609507]; []
IsNotNaN; [-0.9573312264574323, NaN]; [-0.9573312264574323]
IsPositive; [-0.5056993245822003, -0.08234775358005719, -0.3939439771350679, -0.563370422347871, -0.07790001314864159]; []
DivisibleByTwo; [-0.18445579104629117, -0.35245006763656206, 0.18803461681253864, 0.9782127833112408, 0.4419100823381945, 0.7969283117631623, 0.09461495477817272, 0.5009700513784145, -0.6245346937697804]; []
IsPositive; [-0.6850394287401327, -0.8589703269801985, -0.6296904782717241, -0.4893771415683217, 0.32379730799323103, 0.2636444906304174, 0.7293733339171036, -0.5101887562714265, -0.1904751404378493]; [0.32379730799323103, 0.2636444906304174, 0.7293733339171036]
IsPositive; [-0.966153496423932]; []
IsPositive; [-0.10702609024680765, 0.6407918952591356, 0.4474835164918467]; [0.6407918952591356, 0.4474835164918467]
IsPositive; [-0.9940656609680725, 0.3499725962586071, 0.18978832830350445]; [0.3499725962586071, 0.18978832830350445]
IsNotNaN; [NaN, -0.994720280408099, 0.5888788074276357, NaN, 0.7504041816613156]; [-0.994720280408099, 0.5888788074276357, 0.7504041816613156]
DivisibleByTwo; [-0.6234032988289, -0.3892544077385951, -0.891486186390416, 0.15325309734469172, 0.2687962955746468, -0.05929860282682764, 0.741841437940582, 0.6341263028154438, 0.40204285027453457]; []
IsPositive; [-0.29077625908051186, -0.6229478210498549, 0.2009657257005082]; [0.2009657257005082]
DivisibleByTwo; [-0.5557282645122645, -0.05347317861828449, -0.6358265241283603, 0.9073732862269643, -0.8814331796994297, -0.3817996451065282]; []
DivisibleByTwo; [0.13727230485634156, -0.8256661692628247, -0.5305629553850115, -0.8724981041641784, 0.6988455319964102, 0.5660489418182801]; []
IsNotNaN; [-0.6648274376189427, -0.9805284765385607, 0.9605890364399705]; [-0.6648274376189427, -0.9805284765385607, 0.9605890364399705]
DivisibleByTwo; [0.8146206902949404, 0.005101043217497603, 0.44430307452458484, -0.49762577256939977]; []
IsNotNaN; [-0.6331602018257578, 0.28470615829430623]; [-0.6331602018257578, 0.28470615829430623]
IsNotNaN; [-0.42782873381919306, -0.03834954255525291, NaN]; [-0.42782873381919306, -0.03834954255525291]
DivisibleByTwo; [-0.251790951252824]; []
IsNotNaN; [-0.40101986313990223, -0.77161593274337, -0.7040403623661489, NaN, -0.757735839473828, NaN]; [-0.40101986313990223, -0.77161593274337, -0.7040403623661489, -0.757735839473828]
IsPositive; [0.19294640424084486, -0.4331988337964787, -0.3012619407733299, -0.9930437460885522]; [0.19294640424084486]
IsNotNaN; [0.5345977168779183, -0.6294112388600548, 0.9197576707420432, -0.9689848141278814, -0.1376068171372533, -0.12906746039895856, 0.7582202256989905, -0.7709194180551107]; [0.5345977168779183, -0.6294112388600548, 0.9197576707420432, -0.9689848141278814, -0.1376068171372533, -0.12906746039895856, 0.7582202256989905, -0.7709194180551107]
IsPositive; [0.022633785008030483, 0.1695643752009166, -0.9498034383884526, 0.07846687468595603, 0.8393949409084291]; [0.022633785008030483, 0.1695643752009166, 0.07846687468595603, 0.8393949409084291]
IsPositive; [0.13361780575607862, -0.9831448432606424, 0.2752720313711965, -0.7778178159022764, -0.8278739737208074, 0.5070022949322657, 0.9789589960049516, 0.8506830969222916, 0.9758628037150598]; [0.13361780575607862, 0.2752720313711965, 0.5070022949322657, 0.9789589960049516, 0.8506830969222916, 0.9758628037150598]
IsPositive; [-0.45217114727227914, -0.5725849150039601, 0.18252756306592044, -0.9276064157788193, 0.43121941987126644, -0.17388596551680013]; [0.18252756306592044, 0.43121941987126644]
DivisibleByTwo; [-0.054018897716398895, -0.270154710705407]; []
IsPositive; [0.13524581030317084, -0.4971020021107275, -0.4919854058383344]; [0.13524581030317084]
IsPositive; [-0.2629562662842071, 0.2652316910777124, 0.7202848936611908, 0.5492070051545042]; [0.2652316910777124, 0.7202848936611908, 0.5492070051545042]
IsNotNaN; [NaN, 0.8960412405042897, -0.749900357945593]; [0.8960412405042897, -0.749900357945593]
DivisibleByTwo; [0.3304544464276329, 0.6683321872534791, -0.2929892845133488]; []
IsNotNaN; [-0.15938353049740384, NaN, -0.603774465482249, 0.6232063098906262, 0.04429131837781486, 0.8876101521116955, 0.6679215371930431]; [-0.15938353049740384, -0.603774465482249, 0.6232063098906262, 0.04429131837781486, 0.8876101521116955, 0.6679215371930431]
IsNotNaN; [0.8114588633145712, -0.4754464683927271, NaN, -0.9271909695654941, NaN, NaN]; [0.8114588633145712, -0.4754464683927271, -0.9271909695654941]
IsPositive; [0.809323843911455, 0.36557738675104523, 0.9654098849302593, 0.6438572855570315, -0.555346088835017, -0.7120906641925824]; [0.809323843911455, 0.36557738675104523, 0.9654098849302593, 0.6438572855570315]
IsNotNaN; [0.9499377532056927, 0.500009167203521, 0.7128477457012752, -0.22320492064637376, NaN, 0.06619326552219573, -0.9648044519559194, -0.903117352356964, 0.7344347658445871]; [0.9499377532056927, 0.500009167203521, 0.7128477457012752, -0.22320492064637376, 0.06619326552219573, -0.9648044519559194, -0.903117352356964, 0.7344347658445871]
IsNotNaN; [0.7967177034676454, -0.7910577030419257]; [0.7967177034676454, -0.7910577030419257]
DivisibleByTwo; [-0.4465805871541846, 0.9069145518132053, 0.4913531541029148, 0.841624241260116, 0.8739804646046752, 0.21580809515508959, 0.5304902454989733]; []
IsPositive; [-0.07969734721451438, -0.9086794926356567, -0.8347535725238822, 0.4511725079810047, -0.18566027748162273]; [0.4511725079810047]
IsPositive; [-0.18367368662328798, -0.6789418638152951, -0.1015101503964333, -0.3861225387067171, -0.8408128148110974, 0.10523920836857825, 0.7622078655247904]; [0.10523920836857825, 0.7622078655247904]
IsNotNaN; [0.12219573899740155, 0.23854200261269742, -0.4523228946447144, -0.6036007366796541, -0.9513586758555421, -0.7874984470814816, 0.8357664440891235, 0.22023445496350025, 0.9898356710240841]; [0.12219573899740155, 0.23854200261269742, -0.4523228946447144, -0.6036007366796541, -0.9513586758555421, -0.7874984470814816, 0.8357664440891235, 0.22023445496350025, 0.9898356710240841]
IsPositive; [0.07208587664401223, 0.6998191151229272]; [0.07208587664401223, 0.6998191151229272]
IsNotNaN; [NaN, 0.6403841118699389, NaN, -0.31806282622570103]; [0.6403841118699389, -0.31806282622570103]
IsPositive; [-0.17437155879031185, -0.6596740029360528, -0.5166347792491537, 0.1582831756927594, 0.22553371609923767]; [0.1582831756927594, 0.22553371609923767]
IsNotNaN; [-0.45492081948672003, -0.9760209276920511, -0.3805533683191953, -0.6713053233735118, -0.905350015860275]; [-0.45492081948672003, -0.9760209276920511, -0.3805533683191953, -0.6713053233735118, -0.905350015860275]
DivisibleByTwo; [0.024685930922164756, 0.1608728001654618, -0.8226263816632844, -0.7376067411260501, -0.6733786184146422, 0.3950845329144004, 0.3840038491146964]; []
IsNotNaN; [-0.5203755637231557, NaN, -0.9303065766498491, -0.9937072383264631, -0.6390995447570971]; [-0.5203755637231557, -0.9303065766498491, -0.9937072383264631, -0.6390995447570971]
IsNotNaN; [-0.24711693853443917, 0.5599630175328505, NaN, -0.8041984040331114, 0.0842223608638184]; [-0.24711693853443917, 0.5599630175328505, -0.8041984040331114, 0.0842223608638184]
IsPositive; [-0.8980486744783711, 0.9331667813418105]; [0.9331667813418105]
DivisibleByTwo; [-0.573437011013707, -0.6324735578731706, -0.8579733334736677, -0.7074540795035991, -0.20308095385121128, -0.7639456125968342, -0.49918432631200504, -0.6922905951086284]; []
IsPositive; [-0.16395930646034573, 0.38224728008922115, -0.81559236352193, 0.17265459378736026, 0.1324599014139265]; [0.38224728008922115, 0.17265459378736026, 0.1324599014139265]
IsPositive; [0.4419175912171287, 0.6229068799082875, 0.7644572099112066, 0.4563925369183459, 0.8596637142610954, -0.12381255275989944]; [0.4419175912171287, 0.6229068799082875, 0.7644572099112066, 0.4563925369183459, 0.8596637142610954]
IsPositive; [0.8554931085521265, 0.20488582301050218, 0.08151946434793489, 0.9189731723482231]; [0.8554931085521265, 0.20488582301050218, 0.08151946434793489, 0.9189731723482231]
IsNotNaN; [NaN, NaN, -0.5850137982753554, NaN, NaN, -0.7068945109199332, NaN, -0.7156818535199747, 0.2928307260259053]; [-0.5850137982753554, -0.7068945109199332, -0.7156818535199747, 0.2928307260259053]
IsNotNaN; [0.24539855904041152, 0.5794301641044106, -0.062059241217466754, 0.5988765674323362, -0.3062592582228183, 0.9986799968461264, NaN, -0.9420566864180919]; [0.24539855904041152, 0.5794301641044106, -0.062059241217466754, 0.5988765674323362, -0.3062592582228183, 0.9986799968461264, -0.9420566864180919]
DivisibleByTwo; [-0.6017900546107655, -0.0105653376635777, -0.08236497943237109]; []
IsPositive; [-0.3272417857196479, -0.06824670397515442, -0.8774250927401828, 0.030158332042287794, -0.11320283289568311, 0.23935374321388259]; [0.030158332042287794, 0.23935374321388259]
IsNotNaN; [-0.9342510352076288, NaN, 0.5198488049439285, NaN, NaN, -0.21434972690199317]; [-0.9342510352076288, 0.5198488049439285, -0.21434972690199317]
IsNotNaN; [NaN, 0.11648468456232508, NaN, -0.9424421790731541, 0.9506606704548843, NaN, 0.9394858889013058, -0.725473560423666]; [0.11648468456232508, -0.9424421790731541, 0.9506606704548843, 0.9394858889013058, -0.725473560423666]
DivisibleByTwo; [0.7997907328834577, -0.7924118726439191]; []
DivisibleByTwo; [-0.8620474796317688, 0.22413734283543962, 0.8125746258223716, 0.06626723122724743]; []
IsNotNaN; [0.7525975314165592, -0.8280588645152271, -0.22418490445127648, NaN]; [0.7525975314165592, -0.8280588645152271, -0.22418490445127648]
IsPositive; [-0.35192394887773126, -0.4883178463270095, -0.07860135821272163, -0.34243705989617346, -0.683498822539635, -0.847559422918031]; []
IsPositive; [-0.46526700832727386, 0.8033529330226701, 0.2652283744238584, 0.8387977050730395, -0.9293149340727502, 0.6601723714617242]; [0.8033529330226701, 0.2652283744238584, 0.8387977050730395, 0.6601723714617242]
DivisibleByTwo; [0.9711316711995872, -0.8276031647660689, 0.48728759032118263, 0.3653907176194533, -0.8522288546136496, -0.5119644134291661]; []
DivisibleByTwo; [0.9078694892751924, -0.026690561963946147, -0.6215091352168138]; []
DivisibleByTwo; [-0.06530611611666659, -0.5648415583278752, -0.08675319030048012, -0.21237239883802572, 0.12166530005318776, -0.03370685983051347, 0.8722539949072852, 0.3536510390992893, -0.4877739441042799]; []
IsPositive; [-0.8044259265773939, -0.9992835315952087, 0.7121968072496185, 0.3820410835050363, -0.35782832201864734]; [0.7121968072496185, 0.3820410835050363]
DivisibleByTwo; [0.63011115681158, -0.14640506476719684]; []
IsNotNaN; [-0.3932268510964405, 0.5029024634421553, 0.7957045941121439, -0.011364604242378507, 0.8031253481899141, NaN]; [-0.3932268510964405, 0.5029024634421553, 0.7957045941121439, -0.011364604242378507, 0.8031253481899141]
IsNotNaN; [0.7729936008348586, 0.03795530838456407, NaN, NaN, -0.4347946276947252, NaN, 0.25973259563098594, 0.03446467420712529]; [0.7729936008348586, 0.03795530838456407, -0.4347946276947252, 0.25973259563098594, 0.03446467420712529]
IsNotNaN; [0.8201891879002718, 0.8157162380101792, -0.3881604006323478, NaN, NaN, 0.019304623978071866, 0.6810550060008345, -0.8391005343144722]; [0.8201891879002718, 0.8157162380101792, -0.3881604006323478, 0.019304623978071866, 0.6810550060008345, -0.8391005343144722]
DivisibleByTwo; [0.860876452525593, 0.791939180445365, -0.6732666585599256, -0.5978454213340083, -0.9595253221422071, -0.8404210201402662, -0.7449671360679468]; []
IsNotNaN; [NaN, 0.8189503389636821, NaN, NaN, -0.06874252651293511, -0.8743978485892743]; [0.8189503389636821, -0.06874252651293511, -0.8743978485892743]
IsNotNaN; [NaN, 0.8501325183741295, -0.020445346491385408, 0.7575209865222805, NaN, 0.23182131429036756, 0.30216971619560185, 0.7658481748169228]; [0.8501325183741295, -0.020445346491385408, 0.7575209865222805, 0.23182131429036756, 0.30216971619560185, 0.7658481748169228]
IsNotNaN; [0.45985727231412876, -0.11890643270628631, 0.7730628156014927, -0.9253523111434498, NaN, -0.7117252520626836, -0.8818895288227069]; [0.45985727231412876, -0.11890643270628631, 0.7730628156014927, -0.9253523111434498, -0.7117252520626836, -0.8818895288227069]
IsNotNaN; [0.2423664289653431, 0.017413398399326985, -0.6547911569877392, NaN, NaN]; [0.2423664289653431, 0.017413398399326985, -0.6547911569877392]
DivisibleByTwo; [-0.0484193131055779, -0.2706855038418978]; []
DivisibleByTwo; [0.24719183504408027, -0.7864362458367586, -0.8359735099855172, -0.7443015729578504]; []
IsNotNaN; [0.42160573920202515, -0.16289625667244323, 0.9857487506888138]; [0.42160573920202515, -0.16289625667244323, 0.9857487506888138]
IsNotNaN; [NaN, NaN, -0.7292413718743223, -0.1361291016476025, -0.8012582976510587, NaN, -0.4765513781924433, 0.2298431077368841]; [-0.7292413718743223, -0.1361291016476025, -0.8012582976510587, -0.4765513781924433, 0.2298431077368841]
IsPositive; [-0.29895024222884503, 0.5121935951560492, -0.9469566286294961]; [0.5121935951560492]
IsPositive; [0.3362965415000212, 0.24072829937184737, -0.2937277065229076, 0.32549614671584837, 0.2249653014001718]; [0.3362965415000212, 0.24072829937184737, 0.32549614671584837, 0.2249653014001718]
DivisibleByTwo; [0.23199311213755602, 0.10351170221349237, 0.022913519839715013, -0.8927700823995963]; []
DivisibleByTwo; [-0.08770792215947698, -0.4615888432467816, 0.05467408032732579, 0.8704799457569159, 0.6727263017412484, -0.7349627464999109]; []
DivisibleByTwo; [-0.4957743635508902, -0.8323691120267498, 0.49568913483070753, 0.14011244041879722, 0.4352058751375245, -0.39622733290003453, -0.7514363477377457, -0.7990046271715032]; []
DivisibleByTwo; [0.08404725470689134, -0.096932129991115, -0.6579165106414939, -0.9265715537141042, 0.382242146899741, -0.3793425424654975, -0.16576988470588572, -0.26818131384690425, 0.9799606582368219]; []
IsNotNaN; [0.9584732228336559, NaN, -0.4647911472759434]; [0.9584732228336559, -0.4647911472759434]
IsNotNaN; [NaN, -0.4495037295198203, 0.14706191971576943]; [-0.4495037295198203, 0.14706191971576943]
IsNotNaN; [0.1749857645517312]; [0.1749857645517312]
DivisibleByTwo; [-0.525616570612655]; []
DivisibleByTwo; [0.702142136113834, 0.9986233891309177, 0.19576406020100823, 0.5375657038917339, 0.5000927416585474, -0.2759785348541861]; []
IsNotNaN; [0.08877436032985297, NaN, 0.4530371477227495, -0.8388426318592639, NaN, 0.49564335689758954, NaN]; [0.08877436032985297, 0.4530371477227495, -0.8388426318592639, 0.49564335689758954]
IsNotNaN; [-0.8409124589461003]; [-0.8409124589461003]
DivisibleByTwo; [0.9179927298503046, -0.8998579147387427, 0.13546069166738683, -0.2396127784244737, 0.47240801165240764, -0.3337205890174475, -0.0697345366819413, 0.5775845255543763]; []
IsNotNaN; [0.08075034738699194]; [0.08075034738699194]
IsPositive; [0.498855591402136]; [0.498855591402136]
IsNotNaN; [-0.4748416168555365]; [-0.4748416168555365]
IsPositive; [-0.8425725540780651, -0.4419886950329326, 0.5266575154374176]; [0.5266575154374176]
IsNotNaN; [-0.6492063782511868, NaN, -0.4646684132722616, -0.0064091504232612895, -0.24908451317429758, -0.998434716864663, -0.45006886859814177]; [-0.6492063782511868, -0.4646684132722616, -0.0064091504232612895, -0.24908451317429758, -0.998434716864663, -0.45006886859814177]
DivisibleByTwo; [-0.003192837152236061, 0.9651917074120455, -0.6600606071334993, -0.633765744030151, -0.8392957860746666]; []
IsNotNaN; [0.2157090517249023, NaN, -0.36896513936018915, NaN, 0.8173585867636342, -0.7914767826442619, NaN]; [0.2157090517249023, -0.36896513936018915, 0.8173585867636342, -0.7914767826442619]
DivisibleByTwo; [0.3421587108245836, 0.6014781736476773, 0.13387150294786343, 0.07568863460782627, -0.15200900729748157, 0.6237603923117938]; []
IsPositive; [0.3422170975069252, 0.5889493551453189, -0.6072894896810193, 0.1215749430822779]; [0.3422170975069252, 0.5889493551453189, 0.1215749430822779]
IsNotNaN; [-0.5664474294273651]; [-0.5664474294273651]
IsNotNaN; [0.6483569994605753, -0.7579360296910422]; [0.6483569994605753, -0.7579360296910422]
IsPositive; [-0.0075048258291867675, 0.2902295875622989, -0.39526741108933305, -0.6933876759682389, 0.6849585246312018]; [0.2902295875622989, 0.6849585246312018]
DivisibleByTwo; [-0.43758485727402685, -0.904413753595992, 0.6757832843492235]; []
IsNotNaN; [-0.6763678302302787, NaN, 0.17601134945670371, -0.6746043728939877, -0.8638050592568327, -0.08701529586146761]; [-0.6763678302302787, 0.17601134945670371, -0.6746043728939877, -0.8638050592568327, -0.08701529586146761]
IsNotNaN; [NaN, -0.3433254341639682, NaN, NaN, NaN, NaN, 0.23532505054864283, NaN, 0.9284088713664349]; [-0.3433254341639682, 0.23532505054864283, 0.9284088713664349]
DivisibleByTwo; [-0.8409990334737194, -0.5832990847170623, -0.9704954531955965, -0.13735244741918162, 0.2068748730611185, 0.5416631326457322]; []
IsPositive; [0.06185417308622987, 0.7339776292601436, 0.472328969289052, 0.36077060074900813]; [0.06185417308622987, 0.7339776292601436, 0.472328969289052, 0.36077060074900813]
IsPositive; [0.46034479370612447, -0.6882280091831385, -0.9745732659391526, -0.134411482063876, -0.4707046400123871, 0.5167115237470898, -0.6758574610759247, -0.1738824146059108, -0.30662251482391323]; [0.46034479370612447, 0.5167115237470898]
IsNotNaN; [-0.056521227488267156, -0.9313096004075003, NaN, -0.4648306344550073, -0.18387529669485314, NaN]; [-0.056521227488267156, -0.9313096004075003, -0.4648306344550073, -0.18387529669485314]
IsPositive; [0.5067330280413096, 0.8079080374299206, 0.8480922555357642, 0.3784705354586113, 0.5622476062773856]; [0.5067330280413096, 0.8079080374299206, 0.8480922555357642, 0.3784705354586113, 0.5622476062773856]
IsNotNaN; [NaN, 0.2542731592239711, NaN]; [0.2542731592239711]
DivisibleByTwo; [-0.21512327494844397]; []
IsPositive; [-0.4435133987330815, -0.7496365834671634, -0.3192939242337691, -0.3896538968271537]; []
IsNotNaN; [-0.5998731813199505, 0.7751747170188275, 0.35857851367197213, 0.9940870041933216, -0.7133754319579642, -0.11555124707702347]; [-0.5998731813199505, 0.7751747170188275, 0.35857851367197213, 0.9940870041933216, -0.7133754319579642, -0.11555124707702347]
IsPositive; [0.7045560603576948, 0.5312972264228661, -0.5799556296698192, -0.7098873219892983, 0.5669377286006447, 0.6759652524999693]; [0.7045560603576948, 0.5312972264228661, 0.5669377286006447, 0.6759652524999693]
IsPositive; [0.2713248576469103, 0.856804307715543, 0.7950650795138814, -0.4681815741727249, -0.6697361000549189, 0.5178859241135043]; [0.2713248576469103, 0.856804307715543, 0.7950650795138814, 0.5178859241135043]
IsNotNaN; [NaN, NaN, -0.07501197425100292, -0.9639426939264506, 0.9209698136987183, -0.10420063386644784, 0.25813645292779963, 0.3090676208663261, 0.10622299783177591]; [-0.07501197425100292, -0.9639426939264506, 0.9209698136987183, -0.10420063386644784, 0.25813645292779963, 0.3090676208663261, 0.10622299783177591]
DivisibleByTwo; [0.974074132648654, -0.11874319876737793, 0.5089178404156025, 0.6792099517036436, -0.9942043340085149, -0.2863258681251972, -0.7566646533472885]; []
IsNotNaN; [0.0848235317422581, NaN, NaN, 0.14119292908322745, 0.39770591373395425, 0.24501629883682652, NaN, 0.7889350662669772, NaN]; [0.0848235317422581, 0.14119292908322745, 0.39770591373395425, 0.24501629883682652, 0.7889350662669772]
DivisibleByTwo; [-0.7111279700528275, -0.8544693467290083, 0.782965787691412]; []
DivisibleByTwo; [0.9379650683714926, 0.9438660363706235, -0.32471479487887933]; []
DivisibleByTwo; [-0.18665880437575155, 0.10075166309378814, -0.11607052743582313, -0.3839772625296891, -0.8429973171063725, 0.2990801663566278, 0.03510652812334203, 0.7054871713363977, -0.26582445169672253]; []
IsNotNaN; [0.5739158669295636, NaN, -0.47164687145506634]; [0.5739158669295636, -0.47164687145506634]
IsNotNaN; [-0.030550462873100148, NaN, -0.4183021998981824, 0.013199098587578506, -0.9005522763569034, -0.3778996286768137]; [-0.030550462873100148, -0.4183021998981824, 0.013199098587578506, -0.9005522763569034, -0.3778996286768137]
IsPositive; [-0.21520816297409606]; []
IsNotNaN; [-0.6927332684439482, 0.28188141402741196, -0.2855938670928495, 0.8413830060489265, -0.32957447171657117, 0.8861789671233518, 0.4279128703783972, 0.052679676353573957, NaN]; [-0.6927332684439482, 0.28188141402741196, -0.2855938670928495, 0.8413830060489265, -0.32957447171657117, 0.8861789671233518, 0.4279128703783972, 0.052679676353573957]
IsPositive; [0.6837667997624726, -0.3585548687174873, 0.032078795459303366, 0.0490950070166678, 0.30647258429001023, -0.8948487206969389, -0.7833103704598603, 0.9915773691920893, 0.30440955664958835]; [0.6837667997624726, 0.032078795459303366, 0.0490950070166678, 0.30647258429001023, 0.9915773691920893, 0.30440955664958835]
IsPositive; [-0.4222660485844887, -0.5378660916364224]; []
IsPositive; [-0.039876902619530696, -0.5899068375262937, 0.5721499488017381, -0.7927437579485057, 0.6141485535833804, -0.7965691631624936, 0.42834571908278996, 0.18951837592561338, -0.607305236894381]; [0.5721499488017381, 0.6141485535833804, 0.42834571908278996, 0.18951837592561338]
IsNotNaN; [NaN, -0.027388581014893276, NaN, 0.9478569956231115, 0.17885366850719175]; [-0.027388581014893276, 0.9478569956231115, 0.17885366850719175]
IsNotNaN; [NaN, 0.8740059517663918, 0.5803294360914211, -0.9417847155515755, 0.9954859344472116]; [0.8740059517663918, 0.5803294360914211, -0.9417847155515755, 0.9954859344472116]
IsPositive; [0.5871407629028909, 0.9688744227934121, 0.5318522788501869, 0.9418101828950445]; [0.5871407629028909, 0.9688744227934121, 0.5318522788501869, 0.9418101828950445]
IsPositive; [-0.013587891644466499, -0.3797095289713912]; []
IsNotNaN; [-0.25386319608489494, 0.9454613370422693, 0.8481151811178851, 0.4137199727824643, 0.8272294176252848]; [-0.25386319608489494, 0.9454613370422693, 0.8481151811178851, 0.4137199727824643, 0.8272294176252848]
DivisibleByTwo; [-0.34985142399083746, -0.9610497319124167]; []
DivisibleByTwo; [-0.6270981369463267, 0.8099450822781689, 0.915625781529416, 0.6806873949259085, -0.627758350650341, 0.18868328361496123, -0.07800260025643468]; []
IsNotNaN; [-0.9992312625054911, 0.8673349623129949, 0.6385798316327218, -0.08613418388867156, 0.3593885359846347, NaN]; [-0.9992312625054911, 0.8673349623129949, 0.6385798316327218, -0.08613418388867156, 0.3593885359846347]
DivisibleByTwo; [0.1679271538697289]; []
IsNotNaN; [-0.7244575126211925, NaN]; [-0.7244575126211925]
IsNotNaN; [0.9404270326960611, -0.01169871164927705, NaN, NaN, NaN, -0.27327577296730743, -0.5507442768740949]; [0.9404270326960611, -0.01169871164927705, -0.27327577296730743, -0.5507442768740949]
IsNotNaN; [-0.5845003298287597, 0.3350947015405459, 0.25458076478184744, 0.34714698811847366]; [-0.5845003298287597, 0.3350947015405459, 0.25458076478184744, 0.34714698811847366]
IsPositive; [0.5804862795944363, 0.8964121942627621, 0.37089969284769375, 0.5444674108595915]; [0.5804862795944363, 0.8964121942627621, 0.37089969284769375, 0.5444674108595915]
IsPositive; [0.2049941547411276, 0.9849049075277552]; [0.2049941547411276, 0.9849049075277552]
IsPositive; [0.853000069282952]; [0.853000069282952]
IsNotNaN; [NaN, -0.646435528949648, 0.17884739181821518, 0.9753930904862969, -0.21035714079860224, -0.6707287675157918, -0.28863505184142757]; [-0.646435528949648, 0.17884739181821518, 0.9753930904862969, -0.21035714079860224, -0.6707287675157918, -0.28863505184142757]
IsPositive; [0.49822226489023413, -0.7571799665970258, 0.6939194875043784, -0.8264531409804168, 0.3394130721051283]; [0.49822226489023413, 0.6939194875043784, 0.3394130721051283]
IsNotNaN; [NaN, -0.7590951187370161, NaN, -0.32990381520588685, 0.3643262577833979]; [-0.7590951187370161, -0.32990381520588685, 0.3643262577833979]
IsPositive; [0.6651808084139528, -0.8916304298075977, 0.010757142530503083, -0.4704913918254576, -0.5810809705701263]; [0.6651808084139528, 0.010757142530503083]
IsPositive; [0.5052476065346341, 0.055957130227445306, -0.38530884728544423]; [0.5052476065346341, 0.055957130227445306]
DivisibleByTwo; [0.29809134358548284, 0.0059000499436934195, 0.4183592514410699, -0.7695998540789266]; []
IsPositive; [-0.3256606667035693, -0.2596722524194215, -0.7418133989392264, 0.8864312004718835, 0.9681414034779534, 0.07818749090024446, -0.14787292121148643, -8.602592836479683E-4, -0.046574892672867296]; [0.8864312004718835, 0.9681414034779534, 0.07818749090024446]
IsPositive; [0.2959917195513371, -0.4439069474184525, 0.5200184528344152, -0.20958521804289032]; [0.2959917195513371, 0.5200184528344152]
IsPositive; [0.9912359782508535, 0.3291319345305257, -0.9669664858912386, -0.6973551335635926, 0.19737150624936128, 0.011176633059146068, -0.16579040444662763]; [0.9912359782508535, 0.3291319345305257, 0.19737150624936128, 0.011176633059146068]
DivisibleByTwo; [0.9457090436973512]; []
